index,Date,Bitcoin,XRP,Crypto,BTC_Price,XRP_Price
89,2021-02-28,52,2,10,45137.76953125,0.41495299339294434
90,2021-03-01,51,2,9,49631.2421875,0.44724398851394653
91,2021-03-02,48,2,9,48378.98828125,0.43683698773384094
92,2021-03-03,46,2,9,50538.2421875,0.45027899742126465
93,2021-03-04,42,2,8,48561.16796875,0.4866049885749817
94,2021-03-05,40,2,7,48927.3046875,0.4581190049648285
95,2021-03-06,36,2,7,48912.3828125,0.4651060104370117
96,2021-03-07,38,2,8,51206.69140625,0.46686699986457825
97,2021-03-08,40,2,8,52246.5234375,0.47359699010849
98,2021-03-09,47,2,10,54824.1171875,0.48598799109458923
99,2021-03-10,47,2,9,56008.55078125,0.4631659984588623
100,2021-03-11,43,2,9,57805.12109375,0.4529600143432617
101,2021-03-12,43,2,10,57332.08984375,0.44113099575042725
102,2021-03-13,57,2,12,61243.0859375,0.45992401242256165
103,2021-03-14,55,2,12,59302.31640625,0.442111998796463
104,2021-03-15,50,2,11,55907.19921875,0.4375549852848053
105,2021-03-16,45,2,11,56804.90234375,0.4625999927520752
106,2021-03-17,43,2,10,58870.89453125,0.4724169969558716
107,2021-03-18,42,2,10,57858.921875,0.4729189872741699
108,2021-03-19,38,2,10,58346.65234375,0.47117099165916443
109,2021-03-20,39,3,11,58313.64453125,0.5269910097122192
110,2021-03-21,37,3,10,57523.421875,0.5198349952697754
111,2021-03-22,38,4,11,54529.14453125,0.5499420166015625
112,2021-03-23,38,3,9,54738.9453125,0.5565950274467468
113,2021-03-24,43,2,9,52774.265625,0.48883700370788574
114,2021-03-25,48,2,9,51704.16015625,0.5174980163574219
115,2021-03-26,37,2,8,55137.3125,0.5670549869537354
116,2021-03-27,36,2,10,55973.51171875,0.5504429936408997
117,2021-03-28,35,2,10,55950.74609375,0.5507559776306152
118,2021-03-29,40,2,11,57750.19921875,0.5678709745407104
119,2021-03-30,39,2,11,58917.69140625,0.5668590068817139
120,2021-03-31,39,2,11,58918.83203125,0.573868989944458
